PLAYER NAME,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/ATT,ROE%,TD
Josh Jacobs,LV,4.12,26.92,2.74,26,98,-7,3.8,-0.28,50,2
Saquon Barkley,NYG,3.05,--,2.6,16,90,17,5.6,1.04,50,0
Jaylen Warren,PIT,2.56,9.09,2.92,11,88,41,8,3.75,63.6,0
Raheem Mostert,MIA,3.18,--,2.85,12,85,24,7.1,2.02,50,1
D'Onta Foreman,CHI,3.74,25,2.81,20,83,-6,4.2,-0.29,30,0
Derrick Henry,TEN,3.52,35.29,2.87,17,75,0,4.4,-0.01,35.3,1
Aaron Jones,GB,4.78,25,2.65,20,73,-24,3.7,-1.22,30,1
Rachaad White,TB,3.57,10,2.73,20,73,14,3.7,0.69,55,2
Najee Harris,PIT,3.32,--,2.44,16,69,0,4.3,-0.01,37.5,1
Isiah Pacheco,KC,3.23,6.25,2.58,16,66,-1,4.1,-0.09,56.3,0
Brian Robinson,WAS,3.97,33.33,2.65,18,63,-11,3.5,-0.64,33.3,1
Chuba Hubbard,CAR,3.58,--,2.45,16,58,4,3.6,0.26,43.8,0
Tony Pollard,DAL,3.61,8.33,2.65,12,51,-22,4.3,-1.87,16.7,0
Bijan Robinson,ATL,3.81,18.18,2.64,11,51,4,4.6,0.32,36.4,0
Breece Hall,NYJ,4.96,6.25,2.95,16,50,-10,3.1,-0.66,33.3,0
Austin Ekeler,LAC,5.15,21.43,2.78,14,47,-13,3.4,-1.01,38.5,2
Jonathan Taylor,IND,5.11,11.11,3.01,18,47,-12,2.6,-0.64,16.7,0
Alexander Mattison,MIN,4.58,12.5,2.78,16,44,-22,2.8,-1.36,31.3,0
Jerome Ford,CLE,7.08,25,3.02,20,44,-29,2.2,-1.44,40,0
D'Andre Swift,PHI,5.87,38.89,2.77,18,43,-17,2.4,-0.97,44.4,0
Justice Hill,BAL,5.02,--,2.72,13,40,-16,3.1,-1.26,38.5,0
Tyler Allgeier,ATL,5.21,25,2.65,12,39,9,3.3,0.71,50,1
Kareem Hunt,CLE,5.13,28.57,2.73,14,38,-16,2.7,-1.13,28.6,1
Joe Mixon,CIN,5.96,7.14,2.79,14,37,-20,2.6,-1.4,28.6,1
Royce Freeman,LAR,5.36,16.67,2.82,12,32,-5,2.7,-0.4,50,0
Devin Singletary,HOU,7,23.08,2.82,13,26,-16,2,-1.26,30.8,0
Darrell Henderson,LAR,7.26,10,2.79,10,19,-42,1.9,-4.22,10,0
